level,exp,attribute
59,2950,"{""atk"":590,""arp"":60,""hpMax"":6800,""def"":295}"
60,3000,"{""atk"":600,""arp"":60,""hpMax"":6900,""def"":300}"
61,3050,"{""atk"":610,""arp"":65,""hpMax"":7000,""def"":305}"
62,3100,"{""atk"":620,""arp"":65,""hpMax"":7100,""def"":310}"
63,3150,"{""atk"":630,""arp"":65,""hpMax"":7200,""def"":315}"
64,3200,"{""atk"":640,""arp"":65,""hpMax"":7300,""def"":320}"
65,3250,"{""atk"":650,""arp"":65,""hpMax"":7400,""def"":325}"
66,3300,"{""atk"":660,""arp"":70,""hpMax"":7500,""def"":330}"
67,3350,"{""atk"":670,""arp"":70,""hpMax"":7600,""def"":335}"
68,3400,"{""atk"":680,""arp"":70,""hpMax"":7700,""def"":340}"
69,3450,"{""atk"":690,""arp"":70,""hpMax"":7800,""def"":345}"
70,3500,"{""atk"":700,""arp"":70,""hpMax"":7900,""def"":350}"
71,3550,"{""atk"":710,""arp"":75,""hpMax"":8000,""def"":355}"
72,3600,"{""atk"":720,""arp"":75,""hpMax"":8100,""def"":360}"
73,3650,"{""atk"":730,""arp"":75,""hpMax"":8200,""def"":365}"
74,3700,"{""atk"":740,""arp"":75,""hpMax"":8300,""def"":370}"
75,3750,"{""atk"":750,""arp"":75,""hpMax"":8400,""def"":375}"
76,3800,"{""atk"":760,""arp"":80,""hpMax"":8500,""def"":380}"
77,3850,"{""atk"":770,""arp"":80,""hpMax"":8600,""def"":385}"
78,3900,"{""atk"":780,""arp"":80,""hpMax"":8700,""def"":390}"
79,3950,"{""atk"":790,""arp"":80,""hpMax"":8800,""def"":395}"
80,4000,"{""atk"":800,""arp"":80,""hpMax"":8900,""def"":400}"
81,4050,"{""atk"":810,""arp"":85,""hpMax"":9000,""def"":405}"
82,4100,"{""atk"":820,""arp"":85,""hpMax"":9100,""def"":410}"
83,4150,"{""atk"":830,""arp"":85,""hpMax"":9200,""def"":415}"
84,4200,"{""atk"":840,""arp"":85,""hpMax"":9300,""def"":420}"
85,4250,"{""atk"":850,""arp"":85,""hpMax"":9400,""def"":425}"
86,4300,"{""atk"":860,""arp"":90,""hpMax"":9500,""def"":430}"
87,4350,"{""atk"":870,""arp"":90,""hpMax"":9600,""def"":435}"
88,4400,"{""atk"":880,""arp"":90,""hpMax"":9700,""def"":440}"
89,4450,"{""atk"":890,""arp"":90,""hpMax"":9800,""def"":445}"
90,4500,"{""atk"":900,""arp"":90,""hpMax"":9900,""def"":450}"
91,4550,"{""atk"":910,""arp"":95,""hpMax"":10000,""def"":455}"
92,4600,"{""atk"":920,""arp"":95,""hpMax"":10100,""def"":460}"
93,4650,"{""atk"":930,""arp"":95,""hpMax"":10200,""def"":465}"
94,4700,"{""atk"":940,""arp"":95,""hpMax"":10300,""def"":470}"
95,4750,"{""atk"":950,""arp"":95,""hpMax"":10400,""def"":475}"
96,4800,"{""atk"":960,""arp"":100,""hpMax"":10500,""def"":480}"
97,4850,"{""atk"":970,""arp"":100,""hpMax"":10600,""def"":485}"
98,4900,"{""atk"":980,""arp"":100,""hpMax"":10700,""def"":490}"
99,4950,"{""atk"":990,""arp"":100,""hpMax"":10800,""def"":495}"
100,5000,"{""atk"":1000,""arp"":100,""hpMax"":10900,""def"":500}"
